pathway	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
12DICHLORETHDEG-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.58770780081425	5.814552324012372	133.1077849718622	76.72361648263269	0.0	31.503271201086285	7.484550898203593	0.0	0.0	0.0	0.0	23.132754710621477	68.102126206131	0.0	118.82651476001939	77.69774277009029	389.6736709696998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14DICHLORBENZDEG-PWY	0.0	7.0615819970354385	0.0	0.0	0.0	0.0	0.0	0.0	44.69308254998151	27.56135443009646	72.80284726341527	74.38507440766334	84.70344827586207	0.0	0.0	0.0	0.0	46.787576184432574	0.0	13.262449428764334	14.566824269128894	3.658703071672355	28.55255981352879	70.36431886982845	145.25525670018766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY	4286.551970339512	3410.387413605433	4992.852022784166	4192.447252164978	4036.170619746691	4375.056664968484	3420.950643137812	2448.8001514789285	2112.065621823296	2246.507896146647	3133.1306599565924	2219.214121727779	2564.399503458251	768.5286875488848	1407.4482255109272	2021.311310016932	304.0934805970641	642.0696196074607	477.1541653381653	813.8428383466053	750.7909341522727	595.9220766699258	4804.506761341531	6699.521752549931	5774.891633783894	1547.4540659981533	919.2818805261181	846.0176850602049	956.3131888393652	1050.8189345659694	950.1559801379464	2411.1373598743066	2784.311598713985	3125.9279087920695
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.0	13.246804951187544	0.0	0.0	0.0	0.0	0.0	0.0	33.16238704190126	62.865329741904965	23.775062163232533	87.34803969228479	0.0	45.01707955532301	91.05717542977574	0.0	0.0	22.025584087531918	0.0	2.6679501147571885	46.226343679992866	0.0	372.69819154847755	260.8333587280852	291.5624657064777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4-HYDROXYMANDELATE-DEGRADATION-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.246388321503359	6.372093433385946	0.0	7.561249338494851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.554944275282004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AEROBACTINSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155.03558294595257	37.63750356065995	111.14133551156428	34.51255915344279	7.463175122749591	12.64821571593842	0.0	2.429554140127388	0.0	52.405960314488965	5.694871982443307	43.3013158007625	4.142232315891472	0.0	137.7952859976425	8.309948859166012	123.45573582856566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALLANTOINDEG-PWY	8.407423592107127	15.95928059109267	31.158670825853825	0.0	1.3940555481339585	0.0	38.40100446452987	95.36848294823298	375.8246652694205	234.1956194654013	1855.462961688579	489.51703832752503	15.790720631786774	107.12257522652756	391.84083899893744	70.35761642997126	20.27116507314454	131.50004451088634	37.871382634368416	430.3711399941876	204.61320689674508	1.639944272114154	1055.4785904481157	236.25451413764122	808.1470656256017	88.440461696947	0.0	0.0	0.0	6.153846153846153	0.0	0.0	0.0	0.0
ANAEROFRUCAT-PWY	4504.6683034156695	2937.44515137324	4524.549443170162	3819.7870287394817	3991.922817344258	4543.774676143235	3658.831848163847	2430.467321602865	1999.2923012665021	2155.608928824693	1780.5770071653337	1629.0028959639067	1835.2687051966045	809.3712652195719	1464.1547994433888	1973.4022077346497	308.96558191396275	635.1222043061624	528.7394355861367	583.9155333911854	515.404654076211	519.2939691297934	4893.933452760675	5519.200427089763	6107.919305880372	1026.8420775114446	580.5741670667314	517.1669786231587	754.7245646250818	669.1360211332398	538.1846398101087	2189.090220817863	1853.4426792279112	1906.3408844868788
ANAGLYCOLYSIS-PWY	5840.96280330137	4761.457115202754	6392.2375417891535	5141.1365224850315	4971.109161626426	5638.241754911125	4652.7082775390045	3289.9475387679217	2692.858019336643	3195.7022121999894	2768.947237307814	2280.696601858282	2796.220618786038	1105.9743866534004	1835.943392172332	2822.812483609587	427.5968971502032	814.7393357331456	747.3621386334316	835.1463762835169	752.0276978228572	858.1899961549983	6237.020507084189	7528.205067268549	7428.978548782101	1632.7973921429207	990.6448142476657	952.5502791171261	1177.541367303913	1183.7870026316853	963.6499815863609	3026.895561258612	3078.231129682605	3605.6152222712976
ARG+POLYAMINE-SYN	1163.402879184099	1402.995864283215	1122.8223077741966	825.9832534777747	826.4266752921553	2308.0884572657505	1267.3308072273758	1124.9322361761106	773.021909647702	877.7835406911776	1398.7165952227006	924.8006509515061	776.7758787012314	339.2519206668459	522.0007062348528	860.975588608032	145.91095955407778	244.47375449016647	131.9223402068813	287.97747503464217	343.71144729069096	236.70163113060067	1983.073209490719	3347.191755223971	2394.1763793475134	416.15889066657746	26.603959009454588	0.0	79.31824408716896	151.08363674458116	0.0	437.8220084567022	173.7877136061601	338.14667487869934
ARGDEG-IV-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.86342326047574	0.0	250.0972583052686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.08161422105223	0.0	0.0	101.80007759757895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGDEG-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.63076687052828	204.04110541094408	186.58524383603853	121.02218702476412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.75056777213258	0.0	211.46205895796956	0.0	360.4799077709695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGININE-SYN4-PWY	3336.6169057296124	2371.9826837216197	3442.2996460570557	2769.163968768728	3376.048027131136	3907.9065809378817	3017.49108445897	1365.3312795407764	1091.8451058255152	804.3671366055754	1117.4058474576445	1045.2332798612808	613.7944644854434	369.14922285758144	490.6351042911177	1062.8474822500407	170.72245159590815	413.1430537011935	225.15094129596906	193.0049946908502	343.1638816849273	459.5175778386512	1770.1099136439836	4592.371433068225	3014.313227692356	168.6908165071412	125.57050814609538	252.51200498908634	246.72126637915366	208.95649120068674	121.97909964465191	662.1885821560218	415.7755375631402	633.3014861461972
ARGSYN-PWY	4630.084764545027	3514.8103059947284	4760.92081478886	3804.4137615317645	4404.159843363941	5226.89143927123	4195.845931545005	2414.6889053200794	2178.804087295852	2391.5897875397263	3407.357804977448	1912.1461134295278	1649.4387907154464	813.6596679330927	1477.969494809424	1413.4413290355524	300.0390416309555	735.6633194948676	593.7205957271802	901.4581115536955	724.8125760652815	687.7712058226073	4878.7315066530355	5141.528357751666	5505.238483063244	949.3915239976736	630.2462344762716	363.11546513562195	697.5799012039794	570.654352006853	538.0741057798397	2243.3948894379064	1660.9977567754347	1779.294941074712
ARGSYNBSUB-PWY	4541.625898011551	3424.4250277357446	4765.495884236301	3879.6680054368508	4480.403650482647	5265.265664406004	4180.4810956761685	2557.180262981866	2424.418411561175	2610.442798214587	3689.3245997741587	2100.7187024569866	1613.6510166117926	841.8552018962108	1599.5646372919991	1496.069959315866	315.78876396058274	821.9733796753978	644.5571063989895	972.7194337332865	805.1821384602662	655.4992138077037	5263.476348291107	5512.189663484926	5873.617931210394	834.9616604949473	607.4574979225312	280.5219475344025	690.4420069401999	536.7629289023272	503.0089809311827	2386.4763601514055	1641.8740053085705	1605.0111380985754
ARO-PWY	5435.2480822337175	4047.3511251577047	5705.618147250391	4615.683445696308	4834.261195810574	5894.54317176171	4558.749971470451	2952.481894793421	2780.066505529159	3372.827555894251	3904.778944017166	2451.1160019221484	3335.1081647234437	1099.5808834631534	2032.6306507595161	2766.5573471879866	367.01237927099146	875.0319767321131	791.0334575604445	1074.252269545016	859.5661730044438	746.903570700512	6667.710311062763	8178.718717268094	7159.051945172819	2033.8174208397616	1289.0208940852701	1069.5119391431967	1447.2684207873829	1307.2546172832401	1227.4376302061648	3421.005950683686	3658.0271724137447	3858.3234044604255
ASPASN-PWY	2360.835579376523	2418.7987753606167	3017.0039553854567	2314.9466130184405	2295.569024105445	2557.023551613152	2413.1498729352857	1505.2383007683666	1265.1525033314233	1522.0031155488966	681.4154126730043	987.9690054290827	2166.574121950521	495.1416654086527	1002.9491242721016	1657.7186204170387	214.63074434117567	304.57377006205525	366.7783562875553	329.5205585184076	266.14433747880094	406.10597685179744	3263.240452327407	4335.997260911099	3326.8098110428655	1011.2681583391433	827.7571036877004	751.3444323995917	847.1034435579994	927.9252043680642	854.6855486673325	2175.6419198646213	2453.851158818529	2882.4275870298475
AST-PWY	6.033333333333333	9.522222222222222	1.0416726748377794	0.0	0.7888888888888889	0.0	29.84444444444445	38.88888888888889	234.30646502695046	216.74940345241117	1747.9556587284992	296.42562718625356	16.363636363636367	86.96100190234621	364.28578042980774	1.494231385954235	6.511111111111111	89.81438211735139	47.44761686273684	399.5002807636488	185.85157818641522	0.9555555555555555	951.3759262758714	155.12142369034146	646.8323806998612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY	5889.231581249674	4380.102005632949	6073.193840839732	4865.999316274793	5228.559710111604	6139.864088769368	4856.151431559561	3037.2504677977554	2556.0576336481354	3132.882601392918	3702.8318952416325	2554.3844140510846	3408.821921966769	1041.82361402258	1891.3690724958929	2281.083484834859	378.9553507471301	804.4506121713422	719.5015600115823	985.5522651131813	890.0189408847249	823.9017903840924	6332.062505403225	8009.052394118041	6643.446471848845	2057.915503913947	1352.041728425704	960.4699356145052	1510.5942790661256	1375.902154806211	1259.0222089085175	3417.318031695097	3750.7563567680972	3486.612451208232
CALVIN-PWY	7174.82951473729	5506.9069537571495	7425.890074152828	6005.856379303628	6265.486536451587	7798.307365371111	6073.0310651167465	3732.3851922539807	3334.8120554873167	3787.0827486533503	3267.110246386228	2778.3734919276512	3442.6128003360454	1221.1868714652867	1997.6909336668455	3156.3049925685605	488.53046805470643	1043.4911719988702	906.40592172142	927.6613517278381	916.869999236565	1003.8336436177091	6739.128484410301	7967.551171627031	9159.877255099951	2085.680705804065	1215.3055016241244	1117.4433720788616	1388.1087524625782	1371.4724000337696	1257.409801082416	3592.478318285253	3772.310827735009	3955.2627218243138
CARNMET-PWY	5.43	8.57	1.0422033898305083	0.0	0.71	0.0	27.657100220451078	39.276018099547514	3.968543547623299	0.5971237675528607	1.597595562504185	13.957496523476612	0.0	0.39932728626175185	0.0	5.388029570886084	5.86	0.0	0.0	1.1949253477609825	0.997318552767891	0.86	19.577726706236213	11.048710461044815	31.584435621953407	15.749796585740079	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
CATECHOL-ORTHO-CLEAVAGE-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	340.2830625463736	143.53354983938436	1768.553604594072	246.59808551809016	5.970540098199673	65.61526618237018	367.9561493138781	44.36074796037818	0.0	118.81151419361996	26.750136886340925	395.6211387482392	201.91830715148762	0.0	952.5383926537934	1543.0523781910276	805.9263544155051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
